Raz. social del proveedor IVA,,CUIT,Fecha Cpa.,Comp.T,No comprobante Neto Gravado,Ex/Int/Ot(+/-)Cpas RS/Rni,IVA,Acrec.,Percepción,Retención,Total
ARENERA  Y RI,,30-68913140-5,01/09/2015,FAC  A,0003-00001657 12050.17,0.00 0.00,2530.54,0.00,0.00,0.00,14580.71
S.A INPORTADORA Y RI,,30-50673003-8,28/10/2015,FAC  A,3488-00001433 1750.39,1.13 0.00,358.42,0.00,86.22,0.00,2196.16
S.A INPORTADORA Y RI,,30-50673003-8,31/10/2015,FAC  A,3465-00001048 1061.54,2.26 0.00,194.79,0.00,49.06,0.00,1307.65
LA INVERSORA SA RI,,30-62682460-5,01/11/2015,FAC  A,0079-00000012 307.44,0.00 0.00,64.56,0.00,0.00,0.00,372.00
ACHE DE SUR RI,,30-70921425-6,03/11/2015,FAC  A,0003-00004015 381.82,0.00 0.00,80.18,0.00,0.00,0.00,462.00
QUINTANA RI,,27-92342742-8,04/11/2015,FAC  A,0001-00005370 1363.64,0.00 0.00,286.36,0.00,0.00,0.00,1650.00
RUTA 22 S.A. RI,,30-59863915-5,06/11/2015,FAC  A,0014-00127809 624.28,154.59 0.00,131.10,0.00,0.00,0.00,909.97
CHITCHIANS.A RI,,30-59483278-3,07/11/2015,FAC  A,0019-00030639 595.48,134.52 0.00,125.05,0.00,0.00,0.00,855.05
OPESA  ACA PIEDRA RI,,30-67877449-5,10/11/2015,FAC  A,3523-00011530 403.94,91.24 0.00,84.83,0.00,0.00,0.00,580.01
PAPENUAS RI,,27-12291829-2,24/11/2015,FAC  A,0006-00025150 195.87,0.00 0.00,41.13,0.00,0.00,0.00,237.00
SERVICIOS RI,,30-71048925-0,01/12/2015,NCR  A,0004-00000112 -1598.10,0.00 0.00,-335.60,0.00,0.00,0.00,-1933.70
NEUQUEN RI,,30-64676636-9,07/12/2015,FAC  A,0016-00064266 236.80,33.65 0.00,49.73,0.00,0.00,0.00,320.18
S.A INPORTADORA Y RI,,30-50673003-8,12/12/2015,FAC  A,3465-00001226 818.04,0.00 0.00,171.79,0.00,40.90,0.00,1030.73
NEUQUEN RI,,30-64676636-9,21/12/2015,FAC  A,0037-00010983 148.03,21.04 0.00,31.09,0.00,0.00,0.00,200.16
TELECOM ARG.S.A RI,,30-63945373-8,23/12/2015,FAC  A,7403-13677884 19.83,0.00 0.00,5.35,0.00,0.40,0.00,25.58
TELECOM ARG.S.A RI,,30-63945373-8,23/12/2015,FAC  A,7403-13699582 24.34,0.00 0.00,6.57,0.00,0.49,0.00,31.40
NIPPON CAR RI,,30-67277058-7,29/12/2015,FAC  A,0018-00007388 3765.57,0.00 0.00,790.77,0.00,0.00,0.00,4556.34
SHELL CENTENARIO RI,,30-68449078-4,29/12/2015,FAC  A,0026-00053555 300.73,47.00 0.00,63.15,0.00,3.01,0.00,413.89
YPF Estacion de Servicio RI,,30-64965732-3,30/12/2015,FAC  A,0008-00170757 330.75,0.00 0.00,69.46,0.00,0.00,0.00,400.21
SERVICOMPRA RI,,30-68393993-1,30/12/2015,FAC  A,0015-00263682 164.00,41.56 0.00,34.44,0.00,0.00,0.00,240.00
SERVICIOS S.R.L RI,,30-67164273-9,30/12/2015,FAC  A,0015-00054582 155.89,27.48 0.00,32.74,0.00,0.00,0.00,216.11
SERVICIOS S.R.L RI,,30-67164273-9,30/12/2015,FAC  A,0015-00054577 122.71,21.63 0.00,25.77,0.00,0.00,0.00,170.11
TODO CAMPO S.R.L RI,,30-66876430-0,30/12/2015,FAC  A,0020-00053958 154.78,42.70 0.00,32.50,0.00,0.00,0.00,229.98
NEUQUEN RI,,30-64676636-9,30/12/2015,FAC  A,0017-00116864 517.94,73.59 0.00,108.77,0.00,0.00,0.00,700.30
YPFESTACION DE RI,,30-66906300-4,30/12/2015,FAC  A,0016-00168047 575.23,128.97 0.00,120.80,0.00,0.00,0.00,825.00
BANCO  CITI RI,,30-50000562-5,01/01/2016,FAC  A,0001-00001116 557.84,0.00 0.00,117.15,0.00,0.00,0.00,674.99
