Raz. social del proveedor,IVA,CUIT,Fecha Cpa.,Comp.T,No comprobante Neto Gravado,Ex/Int/Ot(+/-)Cpas RS/Rni,IVA,Acrec.,Percepción,Retención,Total
RUTA 22 S.A.,RI,30-59863915-5,28/04/2016,FAC  A,0016-00062424 222.58,30.87 0.00,46.74,0.00,0.00,0.00,300.19
DISTRIBUIDORA LEO,RI,30-69788550-8,06/05/2016,FAC  A,0006-00019063 289.26,0.00 0.00,60.74,0.00,0.00,0.00,350.00
INTEGRAL,RI,30-70804672-4,10/05/2016,FAC  B,7414-00001330 313.30,0.00 0.00,0.00,0.00,0.00,0.00,313.30
DISTRIBUIDORA LEO,RI,30-69788550-8,16/05/2016,FAC  A,0006-00017838 9886.36,0.00 0.00,2076.14,0.00,0.00,0.00,11962.50
DISTRIBUIDORA LEO,RI,30-69788550-8,20/05/2016,FAC  A,0006-00018245 3930.58,0.00 0.00,825.42,0.00,0.00,0.00,4756.00
RUTA 22 S.A.,RI,30-59863915-5,27/05/2016,FAC  A,0016-00065024 296.09,41.93 0.00,62.18,0.00,0.00,0.00,400.20
EDITORIAL RIO,RI,30-50015254-7,27/05/2016,FAC  A,0069-00003964 39.74,0.00 0.00,0.00,0.00,0.00,0.00,39.74
CORREO  ARG.,RI,30-70857483-6,30/05/2016,FAC  A,2513-00261700 980.00,0.00 0.00,0.00,0.00,0.00,0.00,980.00
CORREO  ARG.,RI,30-70857483-6,31/05/2016,FAC  A,2513-00261991 98.00,0.00 0.00,0.00,0.00,0.00,0.00,98.00
RUTA 22 S.A.,RI,30-59863915-5,31/05/2016,FAC  A,0014-00162605 521.94,73.91 0.00,109.61,0.00,0.00,0.00,705.46
BANCO  MACRO  S.A,RI,30-50001008-4,01/06/2016,FAC  A,0000-00001616 1286.33,0.00 0.00,270.13,0.00,0.00,0.00,1556.46
VIEJA DALI,RI,30-71425057-0,01/06/2016,FAC  A,0001-00000650 210.70,0.00 0.00,44.25,0.00,0.00,0.00,254.95
OPESA  ACA PIEDRA,RI,30-67877449-5,01/06/2016,FAC  A,2804-00062222 593.86,81.67 0.00,124.71,0.00,0.00,0.00,800.24
CONFITERIA,RI,20-92516432-2,01/06/2016,FAC  A,0009-00000253 68.60,0.00 0.00,14.41,0.00,0.00,0.00,83.01
SUPERPIZZA,RI,20-25618622-6,02/06/2016,FAC  A,0001-00000114 290.00,0.00 0.00,0.00,0.00,0.00,0.00,290.00
DULCE  Y SALADO,RI,27-14861802-5,02/06/2016,FAC  A,0006-00000672 111.57,0.00 0.00,23.43,0.00,0.00,0.00,135.00
RUTA 22 S.A.,RI,30-59863915-5,02/06/2016,FAC  A,0014-00162963 148.23,20.99 0.00,31.13,0.00,0.00,0.00,200.35
AEROPUERTO ARG.,RI,30-69617058-0,02/06/2016,FAC  B,0373-00230475 20.00,0.00 0.00,0.00,0.00,0.00,0.00,20.00
OPESA  ACA PIEDRA,RI,30-67877449-5,02/06/2016,FAC  A,3523-00018269 296.85,40.83 0.00,62.34,0.00,0.00,0.00,400.02
