Raz. social del proveedor IVA,,CUIT,Fecha Cpa.,Comp.T,No comprobante Neto Gravado,Ex/Int/Ot(+/-)Cpas RS/Rni,IVA,Acrec.,Percepción,Retención,Total
HIBU  ARGENTINA RI,,30-65411876-7,03/12/2014,FAC  A,0379-06039035 199.42,0.00 0.00,41.88,0.00,0.00,0.00,241.30
HIBU  ARGENTINA RI,,30-65411876-7,06/01/2015,FAC  A,0379-06119432 199.42,0.00 0.00,41.88,0.00,0.00,0.00,241.30
HIBU  ARGENTINA RI,,30-65411876-7,06/01/2015,FAC  A,0379-06119433 268.64,0.00 0.00,56.41,0.00,0.00,0.00,325.05
HIBU  ARGENTINA RI,,30-65411876-7,04/02/2015,FAC  A,0379-06198704 1994.20,0.00 0.00,418.78,0.00,0.00,0.00,2412.98
HIBU  ARGENTINA RI,,30-65411876-7,04/02/2015,FAC  A,0379-06198705 268.64,0.00 0.00,56.41,0.00,0.00,0.00,325.05
S.A INPORTADORA Y RI,,30-50673003-8,06/02/2015,FAC  A,2876-00002690 1547.72,0.97 0.00,308.72,0.00,75.05,0.00,1932.46
S.A INPORTADORA Y RI,,30-50673003-8,09/02/2015,FAC  A,2877-00001256 1112.03,0.00 0.00,203.80,0.00,50.96,0.00,1366.79
YPF NORTE RI,,20-11497994-6,09/02/2015,FAC  A,0009-00035242 280.27,123.88 0.00,58.86,0.00,0.00,0.00,463.01
DESPEGAR.COM RI,,30-70130711-5,03/03/2015,FAC  A,0103-00053889 3133.86,73.19 0.00,329.06,0.00,0.00,0.00,3536.11
HIBU  ARGENTINA RI,,30-65411876-7,05/03/2015,FAC  A,0379-06274096 268.64,0.00 0.00,56.41,0.00,0.00,0.00,325.05
HIBU  ARGENTINA RI,,30-65411876-7,17/04/2015,FAC  A,0379-06362775 268.64,0.00 0.00,56.41,0.00,0.00,0.00,325.05
HIBU  ARGENTINA RI,,30-65411876-7,18/05/2015,FAC  A,0379-06440499 268.64,0.00 0.00,56.41,0.00,0.00,0.00,325.05
RICOH S.A. RI,,30-50423158-1,05/06/2015,FAC  A,0054-00022845 7093.69,0.00 0.00,1489.67,0.00,212.81,0.00,8796.17
SERVICIOS S.R.L RI,,30-67164273-9,06/06/2015,FAC  A,0016-00111601 242.40,97.32 0.00,50.90,0.00,0.00,0.00,390.62
CRUCERO DE ALTA RI,,30-64587800-7,07/06/2015,FAC  A,0007-00048372 444.39,212.42 0.00,93.32,0.00,0.00,0.00,750.13
MOVISTAR  ARG.  S.A RI,,30-67881435-7,08/06/2015,FAC  A,2072-01563789 2187.17,0.00 0.00,459.31,0.00,65.62,0.00,2712.10
MOVISTAR  ARG.  S.A RI,,30-67881435-7,08/06/2015,FAC  A,2072-00156397 2187.17,0.00 0.00,459.31,0.00,65.62,0.00,2712.10
SERVICIOS S.R.L RI,,30-67164273-9,10/06/2015,FAC  A,0023-00002512 363.03,145.74 0.00,76.24,0.00,0.00,0.00,585.01
ABERCASA RI,,27-12877059-9,15/06/2015,FAC  A,0002-00000035 8264.46,0.00 0.00,1735.54,0.00,0.00,0.00,10000.00
ABERCASA RI,,27-12877059-9,15/06/2015,FAC  A,0001-00000101 8265.00,0.00 0.00,1735.65,0.00,0.00,0.00,10000.65
HIBU  ARGENTINA RI,,30-65411876-7,18/06/2015,FAC  A,0379-06500792 268.64,0.00 0.00,56.41,0.00,0.00,0.00,325.05
ABERCASA RI,,27-12877059-9,18/06/2015,FAC  A,0001-00000102 8265.00,0.00 0.00,1735.65,0.00,0.00,0.00,10000.65
ABERCASA RI,,27-12877059-9,20/06/2015,FAC  A,0001-00000103 12397.00,0.00 0.00,2603.37,0.00,0.00,0.00,15000.37
ABERCASA RI,,27-12877059-9,22/06/2015,FAC  A,0001-00000108 8265.00,0.00 0.00,1735.65,0.00,0.00,0.00,10000.65
CALF  COOPERATIVA RI,,30-54572139-9,23/06/2015,FAC  A,0021-00067944 1631.49,433.95 0.00,440.50,0.00,48.94,0.00,2554.88
SANITARIOS  SAKURA RI,,30-70947725-7,24/06/2015,FAC  A,0009-00002677 6382.41,0.00 0.00,1340.31,0.00,0.00,0.00,7722.72
TELECOM ARG.S.A RI,,30-63945373-8,24/06/2015,FAC  A,7404-13394683 22.18,0.00 0.00,5.99,0.00,0.44,0.00,28.61
RICOH S.A. RI,,30-50423158-1,26/06/2015,FAC  A,0054-00025070 2090.35,0.00 0.00,438.97,0.00,62.71,0.00,2592.03
RICOH S.A. RI,,30-50423158-1,26/06/2015,FAC  A,0054-00025014 630.23,0.00 0.00,132.35,0.00,0.00,0.00,762.58
IKON  OFFICE RI,,30-70222232-6,26/06/2015,FAC  A,0013-00052848 11667.53,0.00 0.00,2450.18,0.00,0.00,0.00,14117.71
